,date,possession,captain,match_report,attendance,formation,opponent,round,dayofweek,goals_against,xg_against,referee,goals_for,venue,xg_for,result
22,2020-02-09,37,Mikel San José,Match Report,"36,730",4-2-3-1,Real Sociedad,Matchweek 23,Sun,2,2.2,José Luis Munuera,1,Away,0.8,L
23,2020-02-16,65,Raúl García,Match Report,"44,222",3-5-2,Osasuna,Matchweek 24,Sun,1,0.6,Pablo González,0,Home,0.8,L
24,2020-02-23,56,Iker Muniain,Match Report,"19,412",5-3-2,Alavés,Matchweek 25,Sun,2,1.8,Antonio Matéu Lahoz,1,Away,0.8,L
25,2020-03-01,44,Iker Muniain,Match Report,"36,350",4-2-3-1,Villarreal,Matchweek 26,Sun,0,1.0,David Medié,1,Home,2.6,W
26,2020-03-08,42,Raúl García,Match Report,"21,632",4-2-3-1,Valladolid,Matchweek 27,Sun,1,2.1,José Luis Munuera,4,Away,1.1,W
27,2020-06-14,54,Iker Muniain,Match Report,,4-2-3-1,Atlético Madrid,Matchweek 28,Sun,1,1.3,José González,1,Home,0.4,D
28,2020-06-17,52,Iker Muniain,Match Report,,4-2-3-1,Eibar,Matchweek 29,Wed,2,2.1,Eduardo Prieto,2,Away,1.4,D
29,2020-06-20,43,Iker Muniain,Match Report,,4-2-3-1,Betis,Matchweek 30,Sat,0,1.8,Valentín Pizarro,1,Home,1.7,W
30,2020-06-23,27,Óscar de Marcos,Match Report,,4-2-3-1,Barcelona,Matchweek 31,Tue,1,1.8,Jesús Gil,0,Away,0.4,L
31,2020-06-27,47,Iker Muniain,Match Report,,4-2-3-1,Mallorca,Matchweek 32,Sat,1,1.3,Pablo González,3,Home,2.6,W
32,2020-07-01,49,Iker Muniain,Match Report,,4-2-3-1,Valencia,Matchweek 33,Wed,0,1.0,Javier Estrada,2,Away,0.7,W
33,2020-07-05,44,Iker Muniain,Match Report,,4-2-3-1,Real Madrid,Matchweek 34,Sun,1,2.5,José González,0,Home,0.3,L
34,2020-07-09,34,Iker Muniain,Match Report,,4-2-3-1,Sevilla,Matchweek 35,Thu,2,1.7,David Medié,1,Home,0.9,L
35,2020-07-12,44,Iker Muniain,Match Report,,4-2-3-1,Levante,Matchweek 36,Sun,1,1.1,Alberola Rojas,2,Away,0.9,W
36,2020-07-16,61,Iker Muniain,Match Report,,4-2-3-1,Leganés,Matchweek 37,Thu,2,2.0,Juan Martínez,0,Home,0.7,L
37,2020-07-19,63,Raúl García,Match Report,,4-2-3-1,Granada,Matchweek 38,Sun,4,1.6,Carlos del Cerro,0,Away,0.7,L
