,date,possession,captain,match_report,attendance,formation,opponent,round,dayofweek,goals_against,xg_against,referee,goals_for,venue,xg_for,result
24,2019-02-23,46,Iker Muniain,Match Report,"43,363",4-2-3-1,Eibar,Matchweek 25,Sat,0,0.6,Mario Melero,1,Home,1.3,W
25,2019-03-03,49,Iker Muniain,Match Report,"39,041",4-2-3-1,Valencia,Matchweek 26,Sun,2,1.3,David Medié,0,Away,0.4,L
26,2019-03-08,65,Markel Susaeta,Match Report,"38,453",4-2-3-1,Espanyol,Matchweek 27,Fri,1,0.8,Pablo González,1,Home,0.8,D
27,2019-03-16,47,Iker Muniain,Match Report,"39,659",4-2-3-1,Atlético Madrid,Matchweek 28,Sat,0,0.9,Santiago Jaime,2,Home,1.3,W
28,2019-03-29,51,Óscar de Marcos,Match Report,"10,652",4-2-3-1,Girona,Matchweek 29,Fri,1,0.4,José Sánchez,2,Away,1.0,W
29,2019-04-03,40,Óscar de Marcos,Match Report,"36,450",4-2-3-1,Levante,Matchweek 30,Wed,2,1.5,José Luis Munuera,3,Home,1.8,W
30,2019-04-07,51,Óscar de Marcos,Match Report,"11,617",4-2-3-1,Getafe,Matchweek 31,Sun,1,1.3,José González,0,Away,0.7,L
31,2019-04-14,47,Iker Muniain,Match Report,"38,732",4-2-3-1,Rayo Vallecano,Matchweek 32,Sun,2,1.0,Juan Martínez,3,Home,2.7,W
32,2019-04-21,43,Iker Muniain,Match Report,"59,815",4-2-3-1,Real Madrid,Matchweek 33,Sun,3,1.9,Mario Melero,0,Away,0.5,L
33,2019-04-24,43,Mikel San José,Match Report,"4,155",3-4-3,Leganés,Matchweek 34,Wed,0,0.6,Ignacio Iglesias,1,Away,0.6,W
34,2019-04-27,63,Markel Susaeta,Match Report,"40,402",4-2-3-1,Alavés,Matchweek 35,Sat,1,1.3,Jesús Gil,1,Home,1.3,D
35,2019-05-05,59,Iker Muniain,Match Report,"21,151",4-2-3-1,Valladolid,Matchweek 36,Sun,1,0.8,Antonio Matéu Lahoz,0,Away,1.6,L
36,2019-05-12,52,Iker Muniain,Match Report,"42,494",4-2-3-1,Celta Vigo,Matchweek 37,Sun,1,1.1,Javier Estrada,3,Home,2.1,W
37,2019-05-18,53,Iker Muniain,Match Report,"28,060",4-2-3-1,Sevilla,Matchweek 38,Sat,2,1.5,José Sánchez,0,Away,0.7,L
