,date,possession,captain,match_report,attendance,formation,opponent,round,dayofweek,goals_against,xg_against,referee,goals_for,venue,xg_for,result
26,2023-04-01,65,Iker Muniain,Match Report,"43,782",4-3-3,Getafe,Matchweek 27,Sat,0,0.8,Javier Villanueva,0,Home,0.9,D
27,2023-04-08,51,Óscar de Marcos,Match Report,"24,903",4-2-3-1,Espanyol,Matchweek 28,Sat,1,0.9,José Luis Munuera,2,Away,2.3,W
28,2023-04-15,51,Iñaki Williams,Match Report,"49,287",4-2-3-1,Real Sociedad,Matchweek 29,Sat,0,1.4,César Soto,2,Home,0.8,W
29,2023-04-22,47,Óscar de Marcos,Match Report,"13,271",4-2-3-1,Almería,Matchweek 30,Sat,1,0.8,Valentín Pizarro,2,Away,1.7,W
30,2023-04-27,54,Óscar de Marcos,Match Report,"42,716",4-2-3-1,Sevilla,Matchweek 31,Thu,1,1.0,Alejandro Hernández,0,Home,0.3,L
31,2023-05-01,70,Iñaki Williams,Match Report,"16,807",4-2-3-1,Mallorca,Matchweek 32,Mon,1,0.9,Jorge Figueroa,1,Away,1.7,D
32,2023-05-04,63,Óscar de Marcos,Match Report,"43,116",4-2-3-1,Betis,Matchweek 33,Thu,1,1.2,Miguel Ángel Ortiz Arias,0,Home,1.6,L
33,2023-05-13,44,Iñaki Williams,Match Report,"16,871",4-2-3-1,Villarreal,Matchweek 34,Sat,5,3.2,Carlos del Cerro,1,Away,3.1,L
34,2023-05-20,49,Iker Muniain,Match Report,"40,759",4-1-4-1,Celta Vigo,Matchweek 35,Sat,1,0.5,Mario Melero,2,Home,1.0,W
35,2023-05-25,51,Iker Muniain,Match Report,"19,830",4-2-3-1,Osasuna,Matchweek 36,Thu,2,0.8,Alejandro Muñíz,0,Away,0.8,L
36,2023-05-28,64,Iker Muniain,Match Report,"37,807",4-2-3-1,Elche,Matchweek 37,Sun,1,0.9,Valentín Pizarro,0,Home,2.4,L
37,2023-06-04,36,Óscar de Marcos,Match Report,"60,781",4-2-3-1,Real Madrid,Matchweek 38,Sun,1,1.8,Isidro Díaz de Mera,1,Away,2.3,D
