,date,dayofweek,goals_against,possession,round,xg_for,captain,goals_for,opponent,match_report,referee,venue,attendance,xg_against,result,formation
22,2022-01-19,Wed,2,75,Matchweek 21,1.5,César de la Hoz,1,Lugo,Match Report,Gorka Sagues,Away,"1,445",1.4,L,4-2-3-1
23,2022-01-24,Mon,2,68,Matchweek 24,1.2,César de la Hoz,0,Eibar,Match Report,Daniel Trujillo,Home,"7,843",0.7,L,4-3-3
24,2022-01-29,Sat,2,56,Matchweek 25,0.8,César de la Hoz,0,Oviedo,Match Report,Javier Villanueva,Away,"10,543",0.4,L,4-2-3-1
25,2022-02-04,Fri,0,52,Matchweek 26,3.6,César de la Hoz,2,Ibiza,Match Report,Álvaro Moreno,Home,"7,993",0.2,W,4-2-3-1
26,2022-02-12,Sat,0,50,Matchweek 27,1.2,César de la Hoz,1,Málaga,Match Report,Jon González,Away,"17,267",0.4,W,4-2-3-1
27,2022-02-20,Sun,1,48,Matchweek 28,2.3,César de la Hoz,2,CD Mirandés,Match Report,Aitor Gorostegui,Home,"8,432",2.2,W,4-1-4-1
28,2022-02-25,Fri,1,68,Matchweek 29,3.1,Daniel Carriço,3,Fuenlabrada,Match Report,Víctor García Verdura,Home,"8,506",0.9,W,4-2-3-1
29,2022-03-04,Fri,2,61,Matchweek 30,1.9,César de la Hoz,0,Zaragoza,Match Report,Daniel Trujillo,Away,"14,000",0.9,L,4-4-2
30,2022-03-12,Sat,3,63,Matchweek 31,1.9,César de la Hoz,3,Lugo,Match Report,Juan Pulido,Home,"10,053",0.6,D,4-2-3-1
31,2022-03-21,Mon,0,51,Matchweek 32,1.0,César de la Hoz,1,Tenerife,Match Report,Oliver De La Fuente,Away,"15,007",0.9,W,3-5-2
32,2022-03-27,Sun,1,60,Matchweek 33,2.3,César de la Hoz,0,Girona,Match Report,Gorka Sagues,Home,"9,260",1.6,L,4-2-3-1
33,2022-04-03,Sun,1,54,Matchweek 34,0.5,César de la Hoz,1,Huesca,Match Report,José López,Away,"5,832",1.6,D,4-2-3-1
34,2022-04-11,Mon,0,52,Matchweek 35,1.4,César de la Hoz,3,Ponferradina,Match Report,Daniel Trujillo,Home,"9,836",0.3,W,4-3-3
35,2022-04-16,Sat,2,44,Matchweek 36,1.8,Lucas Robertone,2,Valladolid,Match Report,Francisco Hernández,Away,"19,608",1.1,D,4-2-3-1
36,2022-04-25,Mon,0,59,Matchweek 37,2.5,César de la Hoz,1,Sporting Gijón,Match Report,Jon González,Home,"9,897",0.5,W,4-2-3-1
37,2022-04-30,Sat,0,56,Matchweek 38,1.2,Lucas Robertone,2,Burgos,Match Report,Juan Pulido,Away,"8,479",2.0,W,4-2-3-1
38,2022-05-07,Sat,0,55,Matchweek 39,3.0,César de la Hoz,3,Amorebieta,Match Report,Javier Villanueva,Home,"13,478",0.5,W,4-2-3-1
39,2022-05-13,Fri,0,45,Matchweek 40,1.9,César de la Hoz,2,Real Sociedad B,Match Report,Iván Caparrós,Away,"8,140",0.7,W,4-2-3-1
40,2022-05-21,Sat,1,63,Matchweek 41,1.8,César de la Hoz,1,Alcorcón,Match Report,Raúl González,Home,"14,759",1.0,D,4-2-3-1
41,2022-05-29,Sun,2,65,Matchweek 42,1.5,César de la Hoz,2,Leganés,Match Report,Dámaso Arcediano,Away,"8,654",1.8,D,4-2-3-1
